"Graph 0","Graph 1","100.0?r??j100.?100.00","?100.00","100.?100.00","100.00100.00","-?r??0.00","-6?0.00","80.65?r???0.00","0.530.00","??r??j98.53","9?0.00"
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
100.000000,0.000000,"","","","","","","","","",""
